(AVL) DiTEST Fahrzeugdiagnose GmbH;4621
@pos.com;3765
0XF8 Limited;10737
1MORE INC.;12048
360fly, Inc.;11161
3C TEK CORP.;9397
3D Imaging & Simulations Corp. (3DISC);11190
3D Systems Corporation;10632
3DRUDDER;11770
3eYamaichi Electronics Co., Ltd.;8709
3M Cogent, Inc.;7717
3M Scott;8463
3T B.V.;11721
4iiii Innovations Inc.;10009
4Links Limited;10728
4MOD Technology;10244
64seconds, Inc.;12215
77 Elektronika Kft.;11175
89 North, Inc.;12070
Shenzhen 8Bitdo Tech Co., Ltd.;11720
90meter Solutions, Inc.;12086
A‐FOUR TECH CO., LTD.;2522
A‐One Co., Ltd.;10116
A‐Tec Subsystem, Inc.;2164
A‐VEKT K.K.;11459
A. Eberle GmbH & Co. KG;6910
a.tron3d GmbH;9965
A&T Corporation;11849
Aaronia AG;12146
abatec group AG;10371
ABB India Limited;11250
ABILITY ENTERPRISE CO., LTD.;5145
Abionic SA;12412
AbleNet Inc.;8262
Ableton AG;10626
ABOV Semiconductor Co., Ltd.;6697
Absolute USA;10972
AcBel Polytech Inc.;12335
Access Network Technology Limited;10568
ACCUCOMM, INC.;10219
Accumetrics Associates, Inc.;10392
Accusys, Inc.;5055
Ace Karaoke Corp.;8799
ACELLA;8758
Acer, Inc.;1282
Aces Electronics Co., Ltd.;7347
Aclima Inc.;10273
ACON, Advanced‐Connectek, Inc.;1314
Acoustic Arc Technology Holding Limited;12353
ACR Braendli & Voegeli AG;11152
Acromag Inc.;9855
Acroname Inc.;9471
Action Industries (M) SDN BHD;11715
Action Star Technology Co., Ltd.;2101
Actions Microelectronics Co., Ltd.;7649
Actions Semiconductor Co., Ltd.;4310
Active Mind Technology;10505
Qorvo, Inc;11744
Activision;5168
Acute Technology Inc.;10876
Adam Tech;5437
Adapt‐IP Company;10990
Adaptertek Technology Co., Ltd.;11329
ADATA Technology Co., Ltd.;4703
Addasound Denmark A/S;11568
Additel Corporation;11801
adidas International;7894
Adigal LLC;12009
adp Gauselmann GmbH;8425
ADPlaus Technology Limited;10643
ADS ANKER GmbH;1658
ADTEC CORPORATION;3739
ADVANCE Co., Ltd.;10765
Advanced Anaesthesia Specialists;10140
Advanced Connection Technology Inc.;6053
Advanced Media, Inc.;10983
Advanced Micro Devices;1080
Advanced Silicon SA;9753
Advanced Simulation Technology Inc. 10230
Advantest Corporation;10149
AEG Power Solutions GmbH;11053
Aerocool Advanced Technologies Corporation;11927
Aeroflex;3129
Aeroflex Weinschel;9706
Aeromax Technology Co., Ltd.;10285
Aeronix, Inc.;7715
Aeroscout Ltd. (Stanley Healthcare) 11087
AerotechTelub AB;5768
Aevoe Inc. (Moshi);10283
Afag Automation AG;10234
AFL Noyes;10511
AFO Co., Ltd.;9590
Agile Innovative Ltd;12299
Agilent Technologies, Inc.;2391
AHA INC. Co., Ltd.;10055
Ai Electronic Industry Co., Ltd.;10253
AIAIAI ApS;12453
Aides Technology Co., Ltd.;10552
AiM Touch Technology Co., Ltd.;10330
AIPHONE Co., LTD;11626
AirNetix, LLC;10741
AIRTIES WIRELESS NETWORKS;7898
Airviz Inc.;11118
AISIN AW CO., LTD.;10269
Aisino Wincor Manufacturing (Shanghai) Co., Ltd.;11916
AIWA COMPANY LTD. ‐ Love Harmony (LH);10461
AKAR GAME LTD.;10029
Akizuki Denshi Tsusho Co., Ltd.;10832
Aktina Medical Corp.;10115
Alarm.com, Inc.;10333
Alcohol Countermeasure Systems Corp.;10422
Alcor Micro, Corp.;1423
Alcorlink Corp.;11491
Alcorn McBride, Inc.;7400
ALEREON, INC.;5084
AlfaPlus Semiconductor, Inc.;8765
Alfatest Ind. e Com. Produtos Eletronicos S/A;10582
ALGOLTEK, INC.;9636
ALi Corporation;1026
Alibaba Cloud Computing Ltd.;10709
ALIGN Corporation Limited;10840
Align Technology Inc.;11949
ALIPHCOM, INC.;8047
ALKERIA s.r.l.;10619
ALL LINK CONN. TECHNOLOGY CORP.;9576
All Star International Trading;10762
ALLBEST ELECTRONICS TECHNOLOGY CO., LTD.;11281
ALLDATA LLC;11828
Allied Telesis Inc;1993
Allied Vision Technologies GmbH;6834
Allion Labs, Inc.;2787
Allnic Audio;10962
ALLTOP TECHNOLOGY CO., LTD.;5488
Allwinner Technology Co., Ltd.;7994
Allystar Technology (Shenzhen) Co., Ltd.;12234
Alpha and Omega Semiconductor Limited;12315
Alpha Data Parallel Systems;11518
Alpha Imaging Technology Corp.;4429
Alpha Technologies;10409
ALPINE ELECTRONICS, INC.;7320
ALPS ALPINE CO., LTD.;1102
Altek Corporation;5180
Altera;2555
Altia Systems Inc.;11155
Amazon Fulfillment Services, Inc.;11750
Ambiq Micro, Inc.;10988
AMCO TEC International Inc.;4172
American Crystal Group Trading (Shenzhen) Co., Ltd.;12213
American Megatrends;1131
American Power Conversion;1309
American Printing House for the Blind;10871
AMETEK DENMARK A/S;8098
AMGOO Telecom Co., Ltd.;11010
AMI International, Inc.;10065
AMICCOM Electronics Corporation;11018
Amicro Semiconductor Co., Ltd.;12436
Amimon Ltd.;8906
AMITEK;9493
Amlogic, Inc.;7054
AMPAK Technology Inc.;11092
Amphenol Advanced Sensors;11466
Amphenol AssembleTech (Xiamen) Co., Ltd.;8494
Amphenol Corporation;3274
Amphenol East Asia Ltd.;6693
Amphenol LTW Technology Co., Ltd.;12222
Amphenol ShouhMin Industry (ShenZhen) Co., Ltd7989
Amuseway Korea Co., Ltd.;10753
Analog Devices, Inc.;1110
Analog Devices, Inc. Development Tools;1611
Analogix Semiconductor, Inc.;7977
Analytik Jena AG;3535
Anaren Inc.;11821
Andatek Technology, Ltd.;6758
Andon Health Co., Ltd.;11824
Andromium Inc.;11848
ANEX SYSTEM LTD.;6403
Angelbird Technologies GmbH;10193
Anjet Technology Corporation LTD.;12134
Anker Innovations Limited;10522
ANM OPTO LIMITED;10023
Annecy Electronique;4122
Anoto AB;7777
Anritsu Corporation;2907
ANTLIA SA;10319
Antlion Audio;12182
Anton/Bauer, Inc.;9301
ANXA Limited Hong Kong;10187
Anysmart Technologies Co., Ltd.;11388
ANYWIRE CORPORATION;10487
Aoptix Technologies, Inc.;10170
Apacer Technology Inc.;4101
APE Technology Ltd.;12249
Apexone Microelectronics Inc.;5593
Aphex, LLC;10256
Aplix IP Holdings Corporation;9462
Apollo Electrical Technology Co., Ltd.;10467
APOLLO GIKEN Co., Ltd.;11986
Apparent Corporation;10048
Appareo Systems, LLC;12098
Appcessori Corporation;12268
Apple;1452
Applied Research Associates;10290
Applied Security Inc.;9998
Applied Technologies Associates;12323
Applied Vision Corporation;10482
Applikon Biotechnology B.V.;12135
AppWorld S. de R.L. de C.V.;11435
Apricorn;2436
Aptiv Consumer Connectivity;10646
AQuantia Corp;11978
Ara Hub Design Inc.;10710
Araneus Information Systems Oy;4824
Arasan Chip Systems Inc.;2010
ArcBotics LLC;10178
ARCCRA Technology Co., Ltd.;10720
Archisite, Inc.;11240
Areca Technology Corporation;11887
Argon Technology Corporation;9609
Argosy Research Inc.;2112
ARGUS‐SPECTRUM;11193
Ariadne's Thread (USA), Inc. dba Immerex;11312
Ariba Technology Co., LTD.;11973
ARIDIAN TECHNOLOGY COMPANY INC.;9148
Aries Manufacturing ‐ a division of Boss Tech Products Inc.;11903
Aristocrat Technologies;4716
ARKAMI;10177
Armoya Yuksek Teknoloji A.S.;12075
ARP Corporation;11007
Art Beijing Science and Technology Development Co., Ltd.;12387
ART SPA;11851
Artec Design;10787
ARTERY Technology Co., Ltd.;11836
Artesyn Technologies Inc.;6709
Artvision Technologies Inc.;10305
Aruba Networks;9766
ARYGON Technologies AG;8186
Asahi Electronics Laboratory;11653
Asahi Kasei Microdevices Corporation;1366
Asaka Riken Co., Ltd;6454
Ascensia Diabetes Care;6777
Ascon Tecnologic;11500
ASCOT GmbH;10778
ASD Inc.;10001
Asia Optical International Ltd.;11915
Asia Tai Technology (Dongguan) Co., Ltd.;6809
Asia Vital Components Co., Ltd.;4746
Asiatelco Technologies Co.;10447
ASIX Electronics Corporation;2965
ASKA Corporation;4094
Askey Computer Corporation;1690
ASMedia Technology Inc.;5964
Aspect Microsystems Corp.;11926
